method,k,recall_at_k,mrr,avg_top1_score,n_queries
BM25_leakage_controlled,1,0.61375,0.61375,77.55918771890506,800
BM25_leakage_controlled,3,0.745,0.6714583333333333,77.55918771890506,800
BM25_leakage_controlled,5,0.8,0.6842708333333333,77.55918771890506,800
BM25_leakage_controlled,10,0.86375,0.6929930555555555,77.55918771890506,800
SBERT_leakage_controlled,1,0.61125,0.61125,0.7004063883796334,800
SBERT_leakage_controlled,3,0.7375,0.668125,0.7004063883796334,800
SBERT_leakage_controlled,5,0.785,0.6790625,0.7004063883796334,800
SBERT_leakage_controlled,10,0.85625,0.688594742063492,0.7004063883796334,800
