model,noise_level,macro_f1_mean,macro_f1_std,macro_f1_drop_mean,macro_f1_drop_std
LightweightMultimodal_TextLayout_SVM,0.0,0.6787139036892564,0.01932645214393771,0.0,0.0
LightweightMultimodal_TextLayout_SVM,0.02,0.6602654296808903,0.013930469603562876,0.018448474008366134,0.006642229763344645
LightweightMultimodal_TextLayout_SVM,0.05,0.6200939694385165,0.024471823843736935,0.058619934250740004,0.005772341468599815
LightweightMultimodal_TextLayout_SVM,0.1,0.5392191515753386,0.022743854735101918,0.13949475211391785,0.0034236417221593122
LightweightMultimodal_TextLayout_SVM,0.15,0.47033912787683757,0.004801711252194301,0.20837477581241895,0.015913237277764048
TextOnly_TFIDF_SVM,0.0,0.6443244003175211,0.017536367810170803,0.0,0.0
TextOnly_TFIDF_SVM,0.02,0.6182681655309344,0.014346995661236647,0.026056234786586658,0.004842950409772661
TextOnly_TFIDF_SVM,0.05,0.5776225424954488,0.024756765700485146,0.06670185782207232,0.007465342053212792
TextOnly_TFIDF_SVM,0.1,0.4816947304804136,0.008132210908456755,0.1626296698371075,0.011720942002714115
TextOnly_TFIDF_SVM,0.15,0.394270920897229,0.013212854337720974,0.25005347942029216,0.008260449514897409
