task,model,split_seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1,noise_level,clean_macro_f1,macro_f1_drop
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,42,0.73943956503555,0.6690276864977908,0.6754048280159782,0.660172460932454,0.73943956503555,0.0,0.660172460932454,0.0
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,42,0.7754077791718946,0.6938800778840662,0.7051805567827399,0.6884666436846644,0.7754077791718946,0.0,0.6884666436846644,0.0
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,42,0.7105813467168549,0.6377583812591511,0.652506781179288,0.6332453166798214,0.7105813467168549,0.02,0.660172460932454,0.02692714425263254
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,42,0.7524048515265579,0.6715501199666695,0.6782617307922174,0.6637078353548074,0.7524048515265579,0.02,0.6884666436846644,0.024758808329856996
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,42,0.6787954830614805,0.6220533979114852,0.6015665408042113,0.5982851229044548,0.6787954830614805,0.05,0.660172460932454,0.06188733802799917
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,42,0.7243831033040569,0.6567204014962044,0.6341373490478619,0.6293017141346872,0.7243831033040569,0.05,0.6884666436846644,0.05916492954997721
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,42,0.5830196570472606,0.5227003706037759,0.5026932709726165,0.4910569270865101,0.5830196570472606,0.1,0.660172460932454,0.16911553384594386
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,42,0.6524466750313677,0.5771395150999762,0.5613373062058948,0.5504630975345877,0.6524466750313677,0.1,0.6884666436846644,0.1380035461500767
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,42,0.493099121706399,0.4529879187894847,0.40753117823519697,0.40920753246709246,0.493099121706399,0.15,0.660172460932454,0.2509649284653615
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,42,0.5788373065662903,0.4947238480695101,0.483012275656465,0.4690423448582773,0.5788373065662903,0.15,0.6884666436846644,0.2194242988263871
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,43,0.7518115942028986,0.6585534513248918,0.6604336991201153,0.647316112175966,0.7518115942028986,0.0,0.647316112175966,0.0
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,43,0.7844202898550725,0.7111738680883972,0.6971085754278035,0.6912207094488299,0.7844202898550725,0.0,0.6912207094488299,0.0
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,43,0.7255434782608695,0.6274034985202761,0.6271810375050624,0.6169114731991081,0.7255434782608695,0.02,0.647316112175966,0.030404638976857856
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,43,0.7622282608695652,0.6873656032726077,0.678736317418891,0.6721519586813075,0.7622282608695652,0.02,0.6912207094488299,0.019068750767522347
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,43,0.6825181159420289,0.6110641153539147,0.5910039185156635,0.5843994601479874,0.6825181159420289,0.05,0.647316112175966,0.06291665202797858
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,43,0.7282608695652174,0.6730223785837245,0.6391909426637638,0.63862628606888,0.7282608695652174,0.05,0.6912207094488299,0.052594423379949906
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,43,0.5973731884057971,0.506896814786923,0.479574333866054,0.47764197148953613,0.5973731884057971,0.1,0.647316112175966,0.16967414068642983
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,43,0.6648550724637681,0.5882605844195392,0.55261944769471,0.5541510878993121,0.6648550724637681,0.1,0.6912207094488299,0.13706962154951774
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,43,0.48596014492753625,0.42813578275045977,0.3837612648249034,0.3894957073606424,0.48596014492753625,0.15,0.647316112175966,0.2578204048153236
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,43,0.5860507246376812,0.5081771480939082,0.48139449330318146,0.47565605195016064,0.5860507246376812,0.15,0.6912207094488299,0.2155646574986692
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,44,0.7545263157894737,0.6458623329919719,0.6287826419098586,0.6254846278441434,0.7545263157894737,0.0,0.6254846278441434,0.0
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,44,0.776,0.6855196706793565,0.652470051477056,0.6564543579342752,0.776,0.0,0.6564543579342752,0.0
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,44,0.7338947368421053,0.6317195870596226,0.6051469489802064,0.6046477067138738,0.7338947368421053,0.02,0.6254846278441434,0.02083692113026958
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,44,0.751578947368421,0.6781655525051412,0.6380731963725866,0.6449364950065561,0.751578947368421,0.02,0.6564543579342752,0.011517862927719058
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,44,0.6804210526315789,0.5568806853308212,0.55549178670201,0.5501830444339042,0.6804210526315789,0.05,0.6254846278441434,0.07530158341023918
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,44,0.720421052631579,0.6074577242205137,0.5938230288711618,0.5923539081119823,0.720421052631579,0.05,0.6564543579342752,0.0641004498222929
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,44,0.600421052631579,0.5141361250142839,0.47608388662703,0.4763852928651946,0.600421052631579,0.1,0.6254846278441434,0.14909933497894878
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,44,0.640421052631579,0.5276059320063993,0.5176050659035887,0.5130432692921161,0.640421052631579,0.1,0.6564543579342752,0.14341108864215912
RQ4_ocr_robustness,TextOnly_TFIDF_SVM,44,0.4938947368421053,0.4202941203635884,0.37922630456263423,0.38410952286395206,0.4938947368421053,0.15,0.6254846278441434,0.24137510498019132
RQ4_ocr_robustness,LightweightMultimodal_TextLayout_SVM,44,0.5915789473684211,0.4907924979651345,0.46796288673383035,0.4663189868220747,0.5915789473684211,0.15,0.6564543579342752,0.19013537111220052
