model,missing_precision_mean,missing_precision_std,missing_recall_mean,missing_recall_std,missing_f1_mean,missing_f1_std,missing_auroc_mean,missing_auroc_std,balanced_accuracy_mean,balanced_accuracy_std
TextPlusLayout,0.8179184384421473,0.14024443002437392,0.8793426205194721,0.16429461157529432,0.8395680342752407,0.14183565290407552,0.802346385282719,0.08406377893523395,0.6321487279600234,0.1020950295578251
TextOnly,0.7855139151738917,0.16542724567485986,0.8958500634796709,0.15905664370658526,0.8281052347407946,0.16357268929036745,0.7720292881711602,0.07914734269345479,0.6039325050599458,0.09144739714421335
FrequencyPrior,0.7098214285714286,0.24026257502575277,1.0,0.0,0.8011373719438123,0.21196289954341405,0.5,0.0,0.5,0.0
