model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
TFIDF_Plus_Layout_SVM,0.7772453997607146,0.005151347371288255,0.6789775347886824,0.013959606098987819,0.7772453997607146,0.005151347371288255
Text_TFIDF_SVM,0.7467829751521843,0.012061462276680427,0.647402789344935,0.020018571566282284,0.7467829751521843,0.012061462276680427
SBERT_Plus_Layout_SVM,0.7275423154674583,0.013135644017656782,0.6213464290664176,0.003981895340268299,0.7275423154674583,0.013135644017656782
Semantic_SBERT_SVM,0.6983462566623475,0.016652165031178504,0.5907357436107654,0.013821542038882242,0.6983462566623475,0.016652165031178504
LayoutOnly_RF,0.3981602988050022,0.009974261942881955,0.250422133705068,0.003234998570892264,0.3981602988050022,0.009974261942881955
