model,f1_mean,f1_std,auroc_mean,auroc_std,recall_mean,recall_std
TextOnly,0.6299910776762567,0.21224827940905527,0.8595200464948997,0.06927509389152993,0.6475745539458518,0.22782604295771175
TextPlusLayout,0.6109046035972808,0.20449902272378043,0.8441460215662697,0.06312368029414676,0.7192093933651958,0.15882460718776756
TextPlusLayoutPlusRetrieval,0.5980625893336291,0.2148259879773179,0.8445926340466617,0.06016573736467661,0.6927989616779195,0.17301077009332538
