model,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std
TFIDF_LogisticRegression,0.7313500985045078,0.010792522169699515,0.6500853182540476,0.013515551357431287,0.7313500985045078,0.010792522169699515
TFIDF_LinearSVM,0.7467829751521843,0.012061462276680427,0.647402789344935,0.020018571566282284,0.7467829751521843,0.012061462276680427
SBERT_LogisticRegression,0.6885348123252766,0.01518230357815235,0.59304378334125,0.014201952162316702,0.6885348123252766,0.01518230357815235
SBERT_LinearSVM,0.6983462566623475,0.016652165031178504,0.5907357436107654,0.013821542038882242,0.6983462566623475,0.016652165031178504
