split_seed,contract_id,model,k,precision_at_k,recall_at_k,n_missing_eligible_categories
42,"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",TextOnly,5,0.8,0.2,20
42,"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",TextOnly,10,0.8,0.4,20
42,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,TextOnly,3,1.0,0.09375,32
42,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,TextOnly,5,1.0,0.15625,32
42,LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,TextOnly,10,1.0,0.3125,32
42,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",TextOnly,3,1.0,0.1111111111111111,27
42,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",TextOnly,5,1.0,0.18518518518518517,27
42,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",TextOnly,10,0.9,0.3333333333333333,27
42,"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",TextOnly,3,1.0,0.0967741935483871,31
42,"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",TextOnly,5,1.0,0.16129032258064516,31
42,"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",TextOnly,10,1.0,0.3225806451612903,31
42,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,TextOnly,3,1.0,0.09375,32
42,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,TextOnly,5,1.0,0.15625,32
42,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,TextOnly,10,1.0,0.3125,32
42,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT,TextOnly,3,1.0,0.10714285714285714,28
42,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT,TextOnly,5,1.0,0.17857142857142858,28
42,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT,TextOnly,10,0.8,0.2857142857142857,28
42,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,TextOnly,3,1.0,0.10714285714285714,28
42,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,TextOnly,5,1.0,0.17857142857142858,28
42,PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,TextOnly,10,1.0,0.35714285714285715,28
42,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,TextOnly,3,1.0,0.2,15
42,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,TextOnly,5,1.0,0.3333333333333333,15
42,BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,TextOnly,10,1.0,0.6666666666666666,15
42,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,TextOnly,3,1.0,0.1111111111111111,27
42,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,TextOnly,5,1.0,0.18518518518518517,27
42,ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,TextOnly,10,1.0,0.37037037037037035,27
42,"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1)",TextOnly,3,1.0,0.09375,32
