task,model,split_seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
RQ2_layout_ablation,Text_TFIDF_SVM,42,0.73943956503555,0.6690276864977908,0.6754048280159782,0.660172460932454,0.73943956503555
RQ2_layout_ablation,Semantic_SBERT_SVM,42,0.6808866583019657,0.5871611667144787,0.6207151848025149,0.5878798065848339,0.6808866583019657
RQ2_layout_ablation,LayoutOnly_RF,42,0.38686741948975323,0.2932561105941531,0.24966504773904946,0.24562723691137564,0.38686741948975323
RQ2_layout_ablation,TFIDF_Plus_Layout_SVM,42,0.7758260142199916,0.6939237610197284,0.7054515594927672,0.688498817232229,0.7758260142199916
RQ2_layout_ablation,SBERT_Plus_Layout_SVM,42,0.7097448766206608,0.6083873824766906,0.644799091920182,0.6164513419743728,0.7097448766206608
RQ2_layout_ablation,Text_TFIDF_SVM,43,0.7518115942028986,0.6585534513248918,0.6604336991201153,0.647316112175966,0.7518115942028986
RQ2_layout_ablation,Semantic_SBERT_SVM,43,0.7119565217391305,0.5984987325769399,0.6380323178042946,0.6068041165166574,0.7119565217391305
RQ2_layout_ablation,LayoutOnly_RF,43,0.41394927536231885,0.28407705348827866,0.2553770935610189,0.2536651035474711,0.41394927536231885
RQ2_layout_ablation,TFIDF_Plus_Layout_SVM,43,0.7848731884057971,0.71152041443033,0.6973489600431881,0.6915667791251219,0.7848731884057971
RQ2_layout_ablation,SBERT_Plus_Layout_SVM,43,0.7391304347826086,0.6199001124460389,0.6454456248975153,0.6260788395440612,0.7391304347826086
RQ2_layout_ablation,Text_TFIDF_SVM,44,0.7545263157894737,0.6458623329919719,0.6287826419098586,0.6254846278441434,0.7545263157894737
RQ2_layout_ablation,Semantic_SBERT_SVM,44,0.7178947368421053,0.5976028771756147,0.6212882977441294,0.5973280972392541,0.7178947368421053
RQ2_layout_ablation,LayoutOnly_RF,44,0.3936842105263158,0.27054771925160487,0.2485454715445187,0.24874888383786814,0.3936842105263158
RQ2_layout_ablation,TFIDF_Plus_Layout_SVM,44,0.776,0.6855196706793565,0.652470051477056,0.6564543579342752,0.776
RQ2_layout_ablation,SBERT_Plus_Layout_SVM,44,0.7418947368421053,0.6105457428453397,0.6418818953783837,0.6180654379622065,0.7418947368421053
RQ2_layout_ablation,Text_TFIDF_SVM,45,0.7294398092967819,0.639706165945824,0.6603575387438189,0.6306095012814301,0.7294398092967819
RQ2_layout_ablation,Semantic_SBERT_SVM,45,0.6829558998808105,0.5575216384615711,0.602834106907051,0.5694707535744007,0.6829558998808105
RQ2_layout_ablation,LayoutOnly_RF,45,0.3988875645609853,0.26857733602189104,0.25661087811154654,0.25161500406582166,0.3988875645609853
RQ2_layout_ablation,TFIDF_Plus_Layout_SVM,45,0.7707588398887565,0.699694234599297,0.6909602967313383,0.675795653680573,0.7707588398887565
RQ2_layout_ablation,SBERT_Plus_Layout_SVM,45,0.7234803337306317,0.6114609041555032,0.6590175658633475,0.6234984077453887,0.7234803337306317
RQ2_layout_ablation,Text_TFIDF_SVM,46,0.7586975914362176,0.683436576168578,0.6826097391345631,0.673431244490681,0.7586975914362176
RQ2_layout_ablation,Semantic_SBERT_SVM,46,0.6980374665477252,0.584511944847561,0.6238824592291828,0.5921959441386814,0.6980374665477252
RQ2_layout_ablation,LayoutOnly_RF,46,0.39741302408563783,0.2853119216756065,0.2568871003646188,0.25245444016280355,0.39741302408563783
RQ2_layout_ablation,TFIDF_Plus_Layout_SVM,46,0.7787689562890276,0.7019226232156118,0.6903762931548612,0.6825720659712124,0.7787689562890276
RQ2_layout_ablation,SBERT_Plus_Layout_SVM,46,0.7234611953612846,0.6115496667660597,0.654990791274636,0.6226381181060585,0.7234611953612846
