split_seed,clause_category,model,precision,recall,f1,auroc
42,Affiliate License-Licensee,TextOnly,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.8659147869674185
42,Affiliate License-Licensee,TextPlusLayout,0.38095238095238093,0.5714285714285714,0.45714285714285713,0.8941102756892232
42,Affiliate License-Licensee,TextPlusLayoutPlusRetrieval,0.34615384615384615,0.6428571428571429,0.45,0.8552631578947368
42,Affiliate License-Licensor,TextOnly,0.4,0.4,0.4,0.9219512195121952
42,Affiliate License-Licensor,TextPlusLayout,0.2,0.6,0.3,0.8845528455284553
42,Affiliate License-Licensor,TextPlusLayoutPlusRetrieval,0.13333333333333333,0.4,0.2,0.8422764227642277
42,Agreement Date,TextOnly,0.7407407407407407,0.43478260869565216,0.547945205479452,0.7510604453870625
42,Agreement Date,TextPlusLayout,0.5964912280701754,0.7391304347826086,0.6601941747572816,0.792948038176034
42,Agreement Date,TextPlusLayoutPlusRetrieval,0.5535714285714286,0.6739130434782609,0.6078431372549019,0.7680275715800636
42,Anti-Assignment,TextOnly,0.8617021276595744,0.8709677419354839,0.8663101604278075,0.8509984639016898
42,Anti-Assignment,TextPlusLayout,0.8681318681318682,0.8494623655913979,0.8586956521739131,0.8605222734254993
42,Anti-Assignment,TextPlusLayoutPlusRetrieval,0.8804347826086957,0.8709677419354839,0.8756756756756757,0.838095238095238
42,Audit Rights,TextOnly,0.6607142857142857,0.8409090909090909,0.74,0.8687770562770564
42,Audit Rights,TextPlusLayout,0.5714285714285714,0.8181818181818182,0.6728971962616822,0.8587662337662338
42,Audit Rights,TextPlusLayoutPlusRetrieval,0.559322033898305,0.75,0.6407766990291263,0.8038419913419914
42,Cap On Liability,TextOnly,0.75,0.9107142857142857,0.8225806451612904,0.9136904761904762
42,Cap On Liability,TextPlusLayout,0.6438356164383562,0.8392857142857143,0.7286821705426356,0.8861607142857143
42,Cap On Liability,TextPlusLayoutPlusRetrieval,0.6617647058823529,0.8035714285714286,0.7258064516129032,0.8645833333333334
42,Change Of Control,TextOnly,0.5,0.5714285714285714,0.5333333333333333,0.8567857142857143
42,Change Of Control,TextPlusLayout,0.4772727272727273,0.75,0.5833333333333334,0.8692857142857144
42,Change Of Control,TextPlusLayoutPlusRetrieval,0.4318181818181818,0.6785714285714286,0.5277777777777778,0.8117857142857143
42,Competitive Restriction Exception,TextOnly,0.46153846153846156,0.2857142857142857,0.35294117647058826,0.7846016911437472
42,Competitive Restriction Exception,TextPlusLayout,0.37037037037037035,0.47619047619047616,0.4166666666666667,0.7516688918558078
42,Competitive Restriction Exception,TextPlusLayoutPlusRetrieval,0.3793103448275862,0.5238095238095238,0.44,0.8006230529595015
42,Covenant Not To Sue,TextOnly,0.4827586206896552,0.6666666666666666,0.56,0.8335558522474409
42,Covenant Not To Sue,TextPlusLayout,0.4,0.7619047619047619,0.5245901639344263,0.8242100578549176
42,Covenant Not To Sue,TextPlusLayoutPlusRetrieval,0.3170731707317073,0.6190476190476191,0.41935483870967744,0.7249666221628839
42,Document Name,TextOnly,0.8728813559322034,0.9537037037037037,0.911504424778761,0.8009259259259259
42,Document Name,TextPlusLayout,0.9230769230769231,0.8888888888888888,0.9056603773584906,0.875462962962963
42,Document Name,TextPlusLayoutPlusRetrieval,0.95,0.8796296296296297,0.9134615384615384,0.8787037037037038
42,Effective Date,TextOnly,0.5833333333333334,0.6481481481481481,0.6140350877192983,0.6866866866866868
42,Effective Date,TextPlusLayout,0.6166666666666667,0.6851851851851852,0.6491228070175439,0.740990990990991
42,Effective Date,TextPlusLayoutPlusRetrieval,0.6612903225806451,0.7592592592592593,0.7068965517241379,0.7945445445445445
42,Exclusivity,TextOnly,0.7317073170731707,0.6122448979591837,0.6666666666666666,0.8450012916559029
42,Exclusivity,TextPlusLayout,0.6274509803921569,0.6530612244897959,0.64,0.7930767243606303
42,Exclusivity,TextPlusLayoutPlusRetrieval,0.625,0.6122448979591837,0.6185567010309279,0.7912684060966159
42,Expiration Date,TextOnly,0.875,0.9191919191919192,0.896551724137931,0.881574364332985
42,Expiration Date,TextPlusLayout,0.9081632653061225,0.898989898989899,0.9035532994923858,0.836642284918147
42,Expiration Date,TextPlusLayoutPlusRetrieval,0.9340659340659341,0.8585858585858586,0.8947368421052632,0.8969000348310693
42,Governing Law,TextOnly,0.9137931034482759,0.9814814814814815,0.9464285714285714,0.8861111111111111
42,Governing Law,TextPlusLayout,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8935185185185185
42,Governing Law,TextPlusLayoutPlusRetrieval,0.95,0.8796296296296297,0.9134615384615384,0.9125
42,Insurance,TextOnly,0.8181818181818182,0.627906976744186,0.7105263157894737,0.8941176470588235
42,Insurance,TextPlusLayout,0.6097560975609756,0.5813953488372093,0.5952380952380952,0.7868673050615596
42,Insurance,TextPlusLayoutPlusRetrieval,0.6666666666666666,0.6046511627906976,0.6341463414634146,0.814500683994528
