task,model,split_seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1,dataset,n_samples,n_labels
CUAD,TFIDF_LinearSVM,42,0.7649903288201161,0.7215557338687922,0.7305222397601647,0.7248583128973209,0.7649903288201161,CUAD,10338,25
CUAD,SBERT_LinearSVM,42,0.7741779497098646,0.7321545407463198,0.7494987425132887,0.736916317191605,0.7741779497098646,CUAD,10338,25
LexGLUE_ledgar,TFIDF_LinearSVM,42,0.9629500580720093,0.9559318904274937,0.9568668102876395,0.956302633022672,0.9629500580720093,LexGLUE_ledgar,43046,25
LexGLUE_ledgar,SBERT_LinearSVM,42,0.9328687572590012,0.9189056160008192,0.9211882731607899,0.9195494638115045,0.9328687572590012,LexGLUE_ledgar,43046,25
LexGLUE_unfair_tos,TFIDF_LinearSVM,42,0.9320652173913043,0.5947943514219415,0.5993088532643883,0.5896530690006231,0.9320652173913043,LexGLUE_unfair_tos,9197,11
LexGLUE_unfair_tos,SBERT_LinearSVM,42,0.8793478260869565,0.4281752784655826,0.6017208980043338,0.49179982756710233,0.8793478260869565,LexGLUE_unfair_tos,9197,11
