model,k,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std
FrequencyPrior,3,0.9618055555555555,0.11917706088105869,0.10665934484853684,0.027204555122910732
FrequencyPrior,5,0.9541666666666666,0.1031277609277801,0.17563726504714605,0.0379813844673412
FrequencyPrior,10,0.9309895833333334,0.09696738379709216,0.34083223231790916,0.06130681931643134
TextOnly,3,0.9800347222222222,0.07920110942081592,0.10882208356651309,0.02581041696341912
TextOnly,5,0.9760416666666667,0.07116309611668185,0.1803293702902209,0.04009876643129902
TextOnly,10,0.9583333333333334,0.07357583135170721,0.3523933119800177,0.06755188317904885
TextPlusLayout,3,0.9765625,0.0853354997617184,0.10802549327277688,0.022649044366020252
TextPlusLayout,5,0.9583333333333334,0.08986984109079607,0.17634221775156886,0.03631837563727094
TextPlusLayout,10,0.9359375,0.0956503437037878,0.3426658455251692,0.06245984253349041
