dataset,model,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,macro_precision_mean,macro_precision_std,macro_precision_ci95,macro_recall_mean,macro_recall_std,macro_recall_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,micro_f1_mean,micro_f1_std,micro_f1_ci95
CUAD,TFIDF_SBERT_PortableStructure,5,0.7471418973313543,0.029507169651069542,0.025864174568056814,0.7560982673064213,0.030725495229815086,0.026932084022675124,0.764874862882216,0.023412730358134765,0.020522162994907632,0.7514511176421734,0.0271483589304549,0.02379658581005577,0.7471418973313543,0.029507169651069542,0.025864174568056814
CUAD,TFIDF_LinearSVM,5,0.7442339706389128,0.020679655854247515,0.018126517566628378,0.7526430445831072,0.017133760186181735,0.015018402974700869,0.7593301900627751,0.01649560969289102,0.01445903940461463,0.7446794860160793,0.01672965924798716,0.01466419288501166,0.7442339706389128,0.020679655854247515,0.018126517566628378
CUAD,TFIDF_plus_PortableStructure,5,0.74020567072076,0.030224812729447433,0.026493216461136202,0.7510269848643452,0.02043755511752185,0.017914306914377603,0.7525028851867088,0.023486836429240005,0.020587119830222038,0.7389160295969965,0.02562575992356088,0.0224619689363554,0.74020567072076,0.030224812729447433,0.026493216461136202
CUAD,SBERT_LinearSVM,5,0.6933572162510953,0.01536031851169734,0.01346391280849583,0.6982795825231886,0.016974646892198166,0.014878934023244172,0.7099660144636925,0.013636964592847068,0.011953326495854602,0.6963199868771662,0.01472793155028051,0.012909601196841303,0.6933572162510953,0.01536031851169734,0.01346391280849583
CUAD,SBERT_plus_PortableStructure,5,0.6805353225438001,0.026859714787426794,0.023543578063409506,0.6869231196496777,0.026615911522217067,0.023329875079144528,0.6956062973404304,0.0208445459505449,0.018271050108570254,0.683581451541895,0.02224370004283076,0.01949746274381875,0.6805353225438001,0.026859714787426794,0.023543578063409506
CUAD,PortableStructureOnly,5,0.3819510120611683,0.024041669676193835,0.02107345261391739,0.3442055069451865,0.018112540790615986,0.015876342001597613,0.3933583307817054,0.023113240132379417,0.020259648237580433,0.3385586082513285,0.02029161894061666,0.017786388215298515,0.3819510120611683,0.024041669676193835,0.02107345261391739
CUAD,MajorityBaseline,5,0.027556870632539938,0.006736758171583071,0.005905028894097679,0.001377843531626997,0.0003368379085791535,0.00029525144470488393,0.05,0.0,0.0,0.0026784302357665633,0.0006397180480551462,0.0005607375924188353,0.027556870632539938,0.006736758171583071,0.005905028894097679
LexGLUE_ledgar,TFIDF_LinearSVM,5,0.910144927536232,0.015667933558289618,0.013733549285288013,0.9094822677322678,0.017579452883894692,0.015409069849012153,0.9097252747252748,0.016221125871098484,0.014218443726787825,0.9065778820762487,0.0174107184321742,0.01526116758096843,0.910144927536232,0.015667933558289618,0.013733549285288013
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,5,0.9021739130434783,0.006275546404235091,0.005500758955483022,0.9036109250226898,0.006361516278760569,0.005576114872997811,0.9017032967032967,0.006534189203510812,0.0057274693648629894,0.8994098417361487,0.0057950408392011075,0.005079577257545713,0.9021739130434783,0.006275546404235091,0.005500758955483022
LexGLUE_ledgar,TFIDF_plus_PortableStructure,5,0.9014492753623188,0.0166824122220599,0.014622779040822105,0.9024984182484183,0.019192350032457742,0.016822836533653955,0.9009340659340659,0.017417019091663394,0.015266690352513426,0.898572861402022,0.018425963056520646,0.016151068730549743,0.9014492753623188,0.0166824122220599,0.014622779040822105
