dataset,model,seed,accuracy,macro_precision,macro_recall,macro_f1,micro_f1
CUAD,MajorityBaseline,42,0.046255506607929514,0.0030837004405286344,0.06666666666666667,0.0058947368421052625,0.046255506607929514
CUAD,TFIDF_LinearSVM,42,0.8689427312775331,0.8719226342542072,0.8807767491993685,0.8729960167593599,0.8689427312775331
CUAD,TFIDF_plus_PortableStructure,42,0.8700440528634361,0.874059504515015,0.8808064993756604,0.873678859867497,0.8700440528634361
CUAD,PortableStructureOnly,42,0.3964757709251101,0.38122200586100796,0.4313255475854591,0.36822255285301814,0.3964757709251101
CUAD,SBERT_LinearSVM,42,0.7918502202643172,0.7988322673374744,0.8091199169360682,0.8014030073111296,0.7918502202643172
CUAD,SBERT_plus_PortableStructure,42,0.7929515418502202,0.7993993786836353,0.8118506285349458,0.802277657544234,0.7929515418502202
CUAD,TFIDF_SBERT_PortableStructure,42,0.8777533039647577,0.8825453784899341,0.889661482828589,0.8842757957048278,0.8777533039647577
CUAD,MajorityBaseline,43,0.053864168618266976,0.003590944574551132,0.06666666666666667,0.006814814814814815,0.053864168618266976
CUAD,TFIDF_LinearSVM,43,0.8852459016393442,0.8865271352215086,0.884174979834015,0.8834829282724906,0.8852459016393442
CUAD,TFIDF_plus_PortableStructure,43,0.8887587822014051,0.8892201948329163,0.8886413365443286,0.8876308206379346,0.8887587822014051
CUAD,PortableStructureOnly,43,0.43559718969555034,0.36599078221080916,0.423904160352782,0.3696969190701493,0.43559718969555034
CUAD,SBERT_LinearSVM,43,0.8208430913348946,0.8288852657729144,0.8219061176109871,0.821430726613173,0.8208430913348946
CUAD,SBERT_plus_PortableStructure,43,0.8255269320843092,0.8329423668789249,0.8270048065652481,0.8264155117180699,0.8255269320843092
CUAD,TFIDF_SBERT_PortableStructure,43,0.8957845433255269,0.8977407569493013,0.8962118110317657,0.8960390781861872,0.8957845433255269
CUAD,MajorityBaseline,44,0.025943396226415096,0.001729559748427673,0.06666666666666667,0.003371647509578544,0.025943396226415096
CUAD,TFIDF_LinearSVM,44,0.8667452830188679,0.8661059730579055,0.8476089079426775,0.8519167511824087,0.8667452830188679
CUAD,TFIDF_plus_PortableStructure,44,0.8632075471698113,0.8571131199146909,0.8435341381011005,0.8460623036254341,0.8632075471698113
CUAD,PortableStructureOnly,44,0.45990566037735847,0.40114013134521537,0.43260779309985625,0.3877700259783119,0.45990566037735847
CUAD,SBERT_LinearSVM,44,0.8490566037735849,0.8290749216465757,0.8272460128696293,0.8264584305425866,0.8490566037735849
CUAD,SBERT_plus_PortableStructure,44,0.8525943396226415,0.8328752356039618,0.8301974780736534,0.8287959553922383,0.8525943396226415
CUAD,TFIDF_SBERT_PortableStructure,44,0.8856132075471698,0.8720164783415717,0.862944808097109,0.8631714834269234,0.8856132075471698
LexGLUE_ledgar,MajorityBaseline,42,0.06666666666666667,0.0044444444444444444,0.06666666666666667,0.008333333333333333,0.06666666666666667
LexGLUE_ledgar,TFIDF_LinearSVM,42,0.9655555555555555,0.9668474714409747,0.9655555555555555,0.965632713710954,0.9655555555555555
LexGLUE_ledgar,TFIDF_plus_PortableStructure,42,0.9655555555555555,0.9667964554434811,0.9655555555555555,0.9655680054704295,0.9655555555555555
LexGLUE_ledgar,PortableStructureOnly,42,0.4633333333333333,0.46174187403947503,0.4633333333333333,0.43920953369855925,0.4633333333333333
LexGLUE_ledgar,SBERT_LinearSVM,42,0.9544444444444444,0.9544850491493659,0.9544444444444444,0.9541728596296891,0.9544444444444444
LexGLUE_ledgar,SBERT_plus_PortableStructure,42,0.9511111111111111,0.9509888443729958,0.9511111111111109,0.9508196163172543,0.9511111111111111
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,42,0.9688888888888889,0.9695800136210107,0.9688888888888889,0.9688940224156126,0.9688888888888889
LexGLUE_ledgar,MajorityBaseline,43,0.06666666666666667,0.0044444444444444444,0.06666666666666667,0.008333333333333333,0.06666666666666667
LexGLUE_ledgar,TFIDF_LinearSVM,43,0.9644444444444444,0.964750018931382,0.9644444444444442,0.9644563451540125,0.9644444444444444
LexGLUE_ledgar,TFIDF_plus_PortableStructure,43,0.9644444444444444,0.9647316850492204,0.9644444444444441,0.964357053591799,0.9644444444444444
LexGLUE_ledgar,PortableStructureOnly,43,0.4411111111111111,0.4296453434174126,0.44111111111111106,0.41161795075667934,0.4411111111111111
LexGLUE_ledgar,SBERT_LinearSVM,43,0.95,0.9504432930645617,0.9499999999999997,0.949911696573648,0.95
LexGLUE_ledgar,SBERT_plus_PortableStructure,43,0.9466666666666667,0.9475968991607016,0.9466666666666665,0.9466878520550753,0.9466666666666667
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,43,0.9666666666666667,0.9673292483495689,0.9666666666666666,0.9667160555956733,0.9666666666666667
LexGLUE_ledgar,MajorityBaseline,44,0.06666666666666667,0.0044444444444444444,0.06666666666666667,0.008333333333333333,0.06666666666666667
LexGLUE_ledgar,TFIDF_LinearSVM,44,0.9633333333333334,0.9636575590709897,0.9633333333333332,0.9633550271087424,0.9633333333333334
LexGLUE_ledgar,TFIDF_plus_PortableStructure,44,0.9611111111111111,0.9616244955652612,0.9611111111111109,0.9611747460301786,0.9611111111111111
LexGLUE_ledgar,PortableStructureOnly,44,0.46,0.4644423416243327,0.4600000000000001,0.4405019787279444,0.46
LexGLUE_ledgar,SBERT_LinearSVM,44,0.9511111111111111,0.9517383230210765,0.951111111111111,0.9510571106344266,0.9511111111111111
