dataset,model,n_splits,accuracy_mean,accuracy_std,accuracy_ci95,macro_precision_mean,macro_precision_std,macro_precision_ci95,macro_recall_mean,macro_recall_std,macro_recall_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,micro_f1_mean,micro_f1_std,micro_f1_ci95,majority_macro_f1_mean,macro_f1_gain_over_majority,relative_error_reduction_proxy
CUAD,TFIDF_SBERT_PortableStructure,3,0.8863836849458182,0.00904027791540223,0.010230037500492754,0.884100871260269,0.012932489930053971,0.01463449002312122,0.8829393673191546,0.0176228118856001,0.019942088964617532,0.8811621191059795,0.016653556160365825,0.01884527285901745,0.8863836849458182,0.00904027791540223,0.010230037500492754,0.005360399722166207,0.8758017193838133,0.8805216674855643
CUAD,TFIDF_LinearSVM,3,0.8736446386452483,0.010106887354967944,0.011437019704717536,0.8748519141778738,0.010521001695724645,0.01190563419589542,0.870853545658687,0.020202026625389887,0.02286074520027588,0.8694652320714198,0.01607655791533273,0.018192337878517525,0.8736446386452483,0.010106887354967944,0.011437019704717536,0.005360399722166207,0.8641048323492536,0.8687617425526615
CUAD,TFIDF_plus_PortableStructure,3,0.8740034607448841,0.013227777061497973,0.014968638868582976,0.8734642730875407,0.016061811550703877,0.01817565079604497,0.8709939913403631,0.024101427827128236,0.027273333053939777,0.8691239947102886,0.021155271189585354,0.023939442971529813,0.8740034607448841,0.013227777061497973,0.014968638868582976,0.005360399722166207,0.8637635949881224,0.8684186661649569
CUAD,SBERT_plus_PortableStructure,3,0.8236909378523903,0.02986375709192023,0.03379402246422614,0.8217389937221741,0.01934670325157745,0.021892855687250898,0.8230176377246158,0.009801778334658236,0.01109175634570187,0.819163041551514,0.014671529328139402,0.016602398357768555,0.8236909378523903,0.02986375709192023,0.03379402246422614,0.005360399722166207,0.8138026418293478,0.8181884590177461
CUAD,SBERT_LinearSVM,3,0.8205833051242656,0.0286040765487855,0.03236855973890946,0.8189308182523215,0.0174061139831707,0.01969687220370867,0.8194240158055616,0.009314475856296875,0.01054032168026681,0.8164307214889631,0.013254946124313495,0.014999383557414113,0.8205833051242656,0.0286040765487855,0.03236855973890946,0.005360399722166207,0.8110703217667969,0.8154414136942062
CUAD,PortableStructureOnly,3,0.430659540332673,0.03200192189391372,0.03621358371127147,0.3827843064723442,0.017626677892990262,0.019946463763816036,0.42927916701269914,0.004698836114977084,0.005317233619885511,0.3752298326338264,0.010885117168563798,0.012317669641764615,0.430659540332673,0.03200192189391372,0.03621358371127147,0.005360399722166207,0.3698694329116602,0.3718627659790985
CUAD,MajorityBaseline,3,0.042021023817537195,0.014434005546486259,0.01633361489598685,0.0028014015878358133,0.0009622670364324174,0.0010889076597324569,0.06666666666666667,0.0,0.0,0.005360399722166207,0.0017826910532312027,0.0020173048325513457,0.042021023817537195,0.014434005546486259,0.01633361489598685,0.005360399722166207,0.0,0.0
LexGLUE_ledgar,TFIDF_SBERT_PortableStructure,3,0.967037037037037,0.001697250257391087,0.0019206194702543352,0.9676799777929594,0.0017512135169489218,0.0019816846470211836,0.9670370370370369,0.001697250257391099,0.001920619470254349,0.9670731712736571,0.0016711600756825634,0.0018910956503263954,0.967037037037037,0.001697250257391087,0.0019206194702543352,0.008333333333333333,0.9587398379403238,0.96679647523394
LexGLUE_ledgar,TFIDF_LinearSVM,3,0.9644444444444445,0.0011111111111110628,0.0012573405862351303,0.9650850164811154,0.0016211270002043042,0.0018344778955187101,0.9644444444444442,0.0011111111111111738,0.001257340586235256,0.9644813619912362,0.0011390493606872735,0.0012889556918256144,0.9644444444444445,0.0011111111111110628,0.0012573405862351303,0.008333333333333333,0.9561480286579029,0.9641828860415828
LexGLUE_ledgar,TFIDF_plus_PortableStructure,3,0.9637037037037036,0.002312962221628998,0.0026173631481145564,0.964384212019321,0.002603429541078431,0.0029460578628613984,0.9637037037037035,0.0023129622216290693,0.002617363148114637,0.9636999350308023,0.0022691486795146745,0.002567783457860199,0.9637037037037036,0.002312962221628998,0.0026173631481145564,0.008333333333333333,0.955366601697469,0.963394892468036
